City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Balkhash,KZ,46.844,74.9804,14.61,79,75,13.42,broken clouds
251,Roald,NO,62.5833,6.1333,40.33,81,40,34.52,scattered clouds
252,Yar-Sale,RU,66.8333,70.8333,1.26,94,98,16.04,overcast clouds
253,Hofn,IS,64.2539,-15.2082,29.7,64,97,16.15,overcast clouds
254,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,2.3,light snow
255,Chala,TZ,-7.5833,31.2667,62.67,88,99,1.34,overcast clouds
256,Lago Da Pedra,BR,-4.3333,-45.1667,72.01,99,31,3.76,scattered clouds
257,Usumatlan,GT,14.95,-89.7833,66.6,95,41,2.57,scattered clouds
258,Usinsk,RU,65.9939,57.5281,9.88,87,17,19.06,few clouds
259,Aykhal,RU,66.0,111.5,-10.59,87,98,3.31,overcast clouds
260,Staryy Nadym,RU,65.6118,72.6842,-0.67,94,82,15.3,broken clouds
261,Yenagoa,NG,4.9247,6.2642,75.58,92,14,2.42,few clouds
262,Buraydah,SA,26.326,43.975,48.65,30,0,10.69,clear sky
263,Santa Luzia,BR,-19.7697,-43.8514,70.14,94,75,0.0,broken clouds
264,Palmer,US,42.1584,-72.3287,31.21,64,20,10.36,few clouds
265,Bathsheba,BB,13.2167,-59.5167,74.01,78,75,5.75,broken clouds
266,Vila Velha,BR,-20.3297,-40.2925,77.95,88,75,9.22,broken clouds
267,Pacific Grove,US,36.6177,-121.9166,60.94,57,0,10.36,clear sky
268,Kruisfontein,ZA,-34.0033,24.7314,70.7,59,25,8.77,scattered clouds
269,Trinidad,BO,-14.8333,-64.9,70.34,82,100,3.06,overcast clouds
270,Inuvik,CA,68.3499,-133.7218,-35.54,67,20,6.91,few clouds
271,Kaitangata,NZ,-46.2817,169.8464,59.27,98,100,10.47,light rain
272,Panzhihua,CN,26.5851,101.7128,67.48,29,65,1.86,broken clouds
273,La Paz,BO,-16.5,-68.15,48.18,93,75,6.91,fog
274,Urumqi,CN,43.801,87.6005,9.55,79,68,2.24,mist
275,Ulundi,ZA,-28.3352,31.4162,77.58,58,0,3.22,clear sky
276,Middelburg,ZA,-25.7751,29.4648,70.07,54,53,5.44,broken clouds
277,Shimoda,JP,34.6667,138.95,46.76,63,99,13.49,overcast clouds
278,Samarai,PG,-10.6167,150.6667,82.89,75,62,7.25,broken clouds
279,Xingyi,CN,24.1877,102.817,63.95,30,6,16.87,clear sky
280,Seymchan,RU,62.8833,152.4333,-33.05,98,95,0.11,overcast clouds
281,Tomatlan,MX,19.9333,-105.25,61.5,56,0,2.68,clear sky
282,Whyalla,AU,-33.0333,137.5833,75.09,64,69,16.11,broken clouds
283,Gualaquiza,EC,-3.4,-78.55,59.9,98,77,1.34,broken clouds
284,Aklavik,CA,68.2191,-135.0107,-35.57,97,61,6.85,broken clouds
285,Namatanai,PG,-3.6667,152.4333,84.09,70,92,8.34,light rain
286,Goderich,CA,43.7501,-81.7165,24.91,74,53,9.22,broken clouds
287,Caravelas,BR,-17.7125,-39.2481,74.62,96,43,4.29,scattered clouds
288,Freeport,US,40.6576,-73.5832,33.76,68,0,11.5,clear sky
289,Malakal,SS,9.5334,31.6605,79.48,21,61,10.56,broken clouds
290,Ray,IN,23.6833,85.05,75.97,23,3,7.45,clear sky
291,Guantanamo,CU,20.1444,-75.2092,73.47,90,0,2.19,clear sky
292,Luwuk,ID,-0.9516,122.7875,84.96,72,100,0.16,overcast clouds
293,La Tuque,CA,47.4334,-72.7824,23.25,86,100,1.14,overcast clouds
294,Surt,LY,31.2089,16.5887,56.01,55,32,18.34,scattered clouds
295,Luderitz,NA,-26.6481,15.1594,73.94,56,25,10.89,scattered clouds
296,Hay River,CA,60.8156,-115.7999,-9.42,70,75,9.22,light snow
297,College,US,64.8569,-147.8028,-2.25,74,100,5.75,light snow
298,Kokopo,PG,-4.352,152.2633,84.83,67,56,11.36,broken clouds
